date,open,high,low,close,volume,ticker
2016-11-02,111.4,112.35,111.23,111.59,28331709,AAPL
2016-11-01,113.46,113.77,110.53,111.49,43825812,AAPL
2016-10-31,113.65,114.23,113.2,113.54,26419398,AAPL
2016-10-28,113.87,115.21,113.45,113.72,37861662,AAPL
2016-10-27,115.39,115.86,114.1,114.48,34562045,AAPL
2016-10-26,114.31,115.7,113.31,115.59,66134219,AAPL
2016-10-25,117.95,118.36,117.31,118.25,48128970,AAPL
2016-10-24,117.1,117.74,117,117.65,23538673,AAPL
2016-10-21,116.81,116.91,116.28,116.6,23192665,AAPL
2016-10-20,116.86,117.38,116.33,117.06,24125801,AAPL
2016-10-19,117.25,117.76,113.8,117.12,20034594,AAPL
2016-10-18,118.18,118.21,117.45,117.47,24553478,AAPL
2016-10-17,117.33,117.84,116.78,117.55,23624896,AAPL
2016-10-14,117.88,118.17,117.13,117.63,35652191,AAPL
2016-10-13,116.79,117.44,115.72,116.98,35192406,AAPL
2016-10-12,117.35,117.98,116.75,117.34,37586787,AAPL
2016-10-11,117.7,118.69,116.2,116.3,64041043,AAPL
2016-10-10,115.02,116.75,114.72,116.05,36235956,AAPL
2016-10-07,114.31,114.56,113.51,114.06,24358443,AAPL
2016-10-06,113.7,114.34,113.13,113.89,28779313,AAPL
2016-10-05,113.4,113.66,112.69,113.05,21453089,AAPL
2016-10-04,113.06,114.31,112.63,113,29736835,AAPL
2016-10-03,112.71,113.05,112.28,112.52,21701760,AAPL
2016-09-30,112.46,113.37,111.8,113.05,36379106,AAPL
2016-09-29,113.16,113.8,111.8,112.18,35886990,AAPL
2016-09-28,113.69,114.64,113.43,113.95,29641085,AAPL
2016-09-27,113,113.18,112.34,113.09,24607412,AAPL
2016-09-26,111.64,113.39,111.55,112.88,29869442,AAPL
2016-09-23,114.42,114.79,111.55,112.71,52481151,AAPL
2016-09-22,114.35,114.94,114,114.62,31073984,AAPL
2016-09-21,113.85,113.99,112.44,113.55,36003185,AAPL
2016-09-20,113.05,114.12,112.51,113.57,34514269,AAPL
2016-09-19,115.19,116.18,113.25,113.58,47023046,AAPL
2016-09-16,115.12,116.13,114.04,114.92,79886911,AAPL
2016-09-15,113.86,115.73,113.49,115.57,90613177,AAPL
2016-09-14,108.73,113.03,108.6,111.77,112340318,AAPL
2016-09-13,107.51,108.79,107.24,107.95,62176190,AAPL
2016-09-12,102.65,105.72,102.53,105.44,45292770,AAPL
2016-09-09,104.64,105.72,103.13,103.13,46556984,AAPL
2016-09-08,107.25,107.27,105.24,105.52,53002026,AAPL
2016-09-07,107.83,108.76,107.07,108.36,42364328,AAPL
2016-09-06,107.9,108.3,107.51,107.7,26880391,AAPL
2016-09-02,107.7,108,106.82,107.73,26334858,AAPL
2016-09-01,106.14,106.8,105.62,106.73,26701523,AAPL
2016-08-31,105.66,106.57,105.64,106.1,29662406,AAPL
2016-08-30,105.8,106.5,105.5,106,24863945,AAPL
2016-08-29,106.62,107.44,106.29,106.82,24970300,AAPL
2016-08-26,107.41,107.95,106.31,106.94,27766291,AAPL
2016-08-25,107.39,107.88,106.68,107.57,25086248,AAPL
2016-08-24,108.56,108.75,107.68,108.03,23675081,AAPL
2016-08-23,108.59,109.32,108.53,108.85,21257669,AAPL
2016-08-22,108.86,109.1,107.85,108.51,25820230,AAPL
2016-08-19,108.77,109.69,108.36,109.36,25368072,AAPL
2016-08-18,109.23,109.6,109.02,109.08,21984703,AAPL
2016-08-17,109.1,109.37,108.34,109.22,25355976,AAPL
2016-08-16,109.63,110.23,109.21,109.38,33794448,AAPL
2016-08-15,108.14,109.54,108.08,109.48,25868209,AAPL
2016-08-12,107.78,108.44,107.78,108.18,18660434,AAPL
2016-08-11,108.52,108.93,107.85,107.93,27484506,AAPL
2016-08-10,108.71,108.9,107.76,108,24008505,AAPL
2016-08-09,108.23,108.94,108.01,108.81,26315204,AAPL
2016-08-08,107.52,108.37,107.16,108.37,28037220,AAPL
2016-08-05,106.27,107.65,106.18,107.48,40553402,AAPL
2016-08-04,105.58,106,105.28,105.87,27408650,AAPL
2016-08-03,104.81,105.84,104.77,105.79,30202641,AAPL
2016-08-02,106.05,106.07,104,104.48,33816556,AAPL
2016-08-01,104.41,106.15,104.41,106.05,38167871,AAPL
2016-07-29,104.19,104.55,103.68,104.21,27733688,AAPL
2016-07-28,102.83,104.45,102.82,104.34,39869839,AAPL
2016-07-27,104.26,104.35,102.75,102.95,92344820,AAPL
2016-07-26,96.82,97.97,96.42,96.67,56239822,AAPL
2016-07-25,98.25,98.84,96.92,97.34,40382921,AAPL
2016-07-22,99.26,99.3,98.31,98.66,28313669,AAPL
2016-07-21,99.83,101,99.13,99.43,32702028,AAPL
2016-07-20,100,100.46,99.74,99.96,26275968,AAPL
2016-07-19,99.56,100,99.34,99.87,23779924,AAPL
2016-07-18,98.7,100.13,98.6,99.83,36493867,AAPL
